,movieId,title,year,genres,prediction
0,6539,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,Action Adventure Comedy Fantasy,3.93
1,56174,I Am Legend ,2007,Action Horror Sci-Fi Thriller IMAX,4.25
2,59784,Kung Fu Panda ,2008,Action Animation Children Comedy IMAX,4.11
3,60040,"Incredible Hulk, The ",2008,Action Sci-Fi,3.85
4,68319,X-Men Origins: Wolverine ,2009,Action Sci-Fi Thriller,3.95
5,69844,Harry Potter and the Half-Blood Prince ,2009,Adventure Fantasy Mystery Romance IMAX,4.23
6,79702,Scott Pilgrim vs. the World ,2010,Action Comedy Fantasy Musical Romance,4.24
7,80463,"Social Network, The ",2010,Drama,4.52
8,81564,Megamind ,2010,Action Animation Children Comedy Sci-Fi IMAX,4.00
9,82461,Tron: Legacy ,2010,Action Adventure Sci-Fi IMAX,4.00
10,91630,Mission: Impossible - Ghost Protocol ,2011,Action Adventure Thriller IMAX,4.90
11,91658,"Girl with the Dragon Tattoo, The ",2011,Drama Thriller,4.79
12,95441,Ted ,2012,Comedy Fantasy,3.95
13,102123,This Is the End ,2013,Action Comedy,4.17
14,103335,Despicable Me 2 ,2013,Animation Children Comedy IMAX,4.11
15,106920,Her ,2013,Drama Romance Sci-Fi,3.88
16,109374,"Grand Budapest Hotel, The ",2014,Comedy Drama,4.42
17,111362,X-Men: Days of Future Past ,2014,Action Adventure Sci-Fi,4.12
18,115713,Ex Machina ,2015,Drama Sci-Fi Thriller,4.27
19,136864,Batman v Superman: Dawn of Justice ,2016,Action Adventure Fantasy Sci-Fi,3.84
