,movieId,title,year,genres,prediction
0,32,Twelve Monkeys ,a.k.a. 12 Monkeys,Mystery Sci-Fi Thriller,0.35
1,50,"Usual Suspects, The ",1995,Crime Mystery Thriller,0.51
2,260,Star Wars: Episode IV - A New Hope ,1977,Action Adventure Sci-Fi,0.64
3,296,Pulp Fiction ,1994,Comedy Crime Drama Thriller,0.52
4,356,Forrest Gump ,1994,Comedy Drama Romance War,0.68
5,457,"Fugitive, The ",1993,Thriller,0.35
6,592,Batman ,1989,Action Crime Thriller,0.39
7,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,0.56
8,608,Fargo ,1996,Comedy Crime Drama Thriller,0.36
9,1198,Raiders of the Lost Ark ,Indiana Jones and the Raiders of the Lost Ark,Action Adventure,0.51
10,1210,Star Wars: Episode VI - Return of the Jedi ,1983,Action Adventure Sci-Fi,0.45
11,1265,Groundhog Day ,1993,Comedy Fantasy Romance,0.43
12,1270,Back to the Future ,1985,Adventure Comedy Sci-Fi,0.48
13,1580,Men in Black ,a.k.a. MIB,Action Comedy Sci-Fi,0.50
14,2628,Star Wars: Episode I - The Phantom Menace ,1999,Action Adventure Sci-Fi,0.37
15,2762,"Sixth Sense, The ",1999,Drama Horror Mystery,0.35
16,2858,American Beauty ,1999,Drama Romance,0.51
17,2959,Fight Club ,1999,Action Crime Drama Thriller,0.51
18,4226,Memento ,2000,Mystery Thriller,0.36
19,6539,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,Action Adventure Comedy Fantasy,0.41
