,movieId,title,year,genres,prediction
0,32,Twelve Monkeys ,a.k.a. 12 Monkeys,Mystery Sci-Fi Thriller,0.03
1,47,Seven ,a.k.a. Se7en,Mystery Thriller,0.04
2,260,Star Wars: Episode IV - A New Hope ,1977,Action Adventure Sci-Fi,0.05
3,356,Forrest Gump ,1994,Comedy Drama Romance War,0.05
4,364,"Lion King, The ",1994,Adventure Animation Children Drama Musical IMAX,0.02
5,480,Jurassic Park ,1993,Action Adventure Sci-Fi Thriller,0.04
6,588,Aladdin ,1992,Adventure Animation Children Comedy Musical,0.02
7,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,0.05
8,780,Independence Day ,a.k.a. ID4,Action Adventure Sci-Fi Thriller,0.03
9,858,"Godfather, The ",1972,Crime Drama,0.03
10,1196,Star Wars: Episode V - The Empire Strikes Back ,1980,Action Adventure Sci-Fi,0.04
11,1198,Raiders of the Lost Ark ,Indiana Jones and the Raiders of the Lost Ark,Action Adventure,0.03
12,1210,Star Wars: Episode VI - Return of the Jedi ,1983,Action Adventure Sci-Fi,0.03
13,1270,Back to the Future ,1985,Adventure Comedy Sci-Fi,0.03
14,2028,Saving Private Ryan ,1998,Action Drama War,0.03
15,2571,"Matrix, The ",1999,Action Sci-Fi Thriller,0.04
16,2858,American Beauty ,1999,Drama Romance,0.04
17,2959,Fight Club ,1999,Action Crime Drama Thriller,0.04
18,4993,"Lord of the Rings: The Fellowship of the Ring, The ",2001,Adventure Fantasy,0.03
19,7153,"Lord of the Rings: The Return of the King, The ",2003,Action Adventure Drama Fantasy,0.03
