,movieId,title,year,genres,prediction
0,47,Seven ,a.k.a. Se7en,Mystery Thriller,8.64
1,161,Crimson Tide ,1995,Drama Thriller War,9.92
2,165,Die Hard: With a Vengeance ,1995,Action Crime Thriller,9.69
3,185,"Net, The ",1995,Action Crime Thriller,8.90
4,208,Waterworld ,1995,Action Adventure Sci-Fi,8.15
5,253,Interview with the Vampire: The Vampire Chronicles ,1994,Drama Horror,9.17
6,292,Outbreak ,1995,Action Drama Sci-Fi Thriller,8.61
7,329,Star Trek: Generations ,1994,Adventure Drama Sci-Fi,8.30
8,339,While You Were Sleeping ,1995,Comedy Romance,8.57
9,356,Forrest Gump ,1994,Comedy Drama Romance War,10.01
10,364,"Lion King, The ",1994,Adventure Animation Children Drama Musical IMAX,9.35
11,377,Speed ,1994,Action Romance Thriller,9.99
12,434,Cliffhanger ,1993,Action Adventure Thriller,9.10
13,454,"Firm, The ",1993,Drama Thriller,8.79
14,480,Jurassic Park ,1993,Action Adventure Sci-Fi Thriller,10.45
15,500,Mrs. Doubtfire ,1993,Comedy Drama,9.91
16,539,Sleepless in Seattle ,1993,Comedy Drama Romance,8.97
17,587,Ghost ,1990,Comedy Drama Fantasy Romance Thriller,8.96
18,588,Aladdin ,1992,Adventure Animation Children Comedy Musical,8.87
19,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,8.32
