,movieId,title,year,genres,prediction
0,56174,I Am Legend ,2007,Action Horror Sci-Fi Thriller IMAX,2.24
1,57669,In Bruges ,2008,Comedy Crime Drama Thriller,2.13
2,63082,Slumdog Millionaire ,2008,Crime Drama Romance,2.10
3,69122,"Hangover, The ",2009,Comedy Crime,2.20
4,69844,Harry Potter and the Half-Blood Prince ,2009,Adventure Fantasy Mystery Romance IMAX,2.24
5,72378,2012 ,2009,Action Drama Sci-Fi Thriller,2.09
6,76251,Kick-Ass ,2010,Action Comedy,2.28
7,79702,Scott Pilgrim vs. the World ,2010,Action Comedy Fantasy Musical Romance,2.31
8,80463,"Social Network, The ",2010,Drama,2.50
9,81591,Black Swan ,2010,Drama Thriller,2.10
10,91630,Mission: Impossible - Ghost Protocol ,2011,Action Adventure Thriller IMAX,2.23
11,91658,"Girl with the Dragon Tattoo, The ",2011,Drama Thriller,2.38
12,97304,Argo ,2012,Drama Thriller,2.10
13,102903,Now You See Me ,2013,Crime Mystery Thriller,2.14
14,106920,Her ,2013,Drama Romance Sci-Fi,2.13
15,109374,"Grand Budapest Hotel, The ",2014,Comedy Drama,2.48
16,111362,X-Men: Days of Future Past ,2014,Action Adventure Sci-Fi,2.10
17,112552,Whiplash ,2014,Drama,2.07
18,112556,Gone Girl ,2014,Drama Thriller,2.18
19,115713,Ex Machina ,2015,Drama Sci-Fi Thriller,2.11
