,movieId,title,year,genres,prediction
0,260,Star Wars: Episode IV - A New Hope ,1977,Action Adventure Sci-Fi,0.99
1,1198,Raiders of the Lost Ark ,Indiana Jones and the Raiders of the Lost Ark,Action Adventure,0.97
2,1210,Star Wars: Episode VI - Return of the Jedi ,1983,Action Adventure Sci-Fi,0.97
3,1221,"Godfather: Part II, The ",1974,Crime Drama,0.96
4,2959,Fight Club ,1999,Action Crime Drama Thriller,0.98
5,6539,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,Action Adventure Comedy Fantasy,0.96
6,71530,Surrogates ,2009,Action Sci-Fi Thriller,0.99
7,72378,2012 ,2009,Action Drama Sci-Fi Thriller,0.98
8,91630,Mission: Impossible - Ghost Protocol ,2011,Action Adventure Thriller IMAX,0.98
9,102123,This Is the End ,2013,Action Comedy,0.98
10,102903,Now You See Me ,2013,Crime Mystery Thriller,0.98
11,103141,Monsters University ,2013,Adventure Animation Comedy,1.00
12,103335,Despicable Me 2 ,2013,Animation Children Comedy IMAX,0.99
13,111362,X-Men: Days of Future Past ,2014,Action Adventure Sci-Fi,0.98
14,112552,Whiplash ,2014,Drama,0.97
15,112556,Gone Girl ,2014,Drama Thriller,0.99
16,114935,Predestination ,2014,Action Mystery Sci-Fi Thriller,0.98
17,115713,Ex Machina ,2015,Drama Sci-Fi Thriller,0.98
18,136864,Batman v Superman: Dawn of Justice ,2016,Action Adventure Fantasy Sci-Fi,0.97
19,158238,The Nice Guys ,2016,Crime Mystery Thriller,0.97
