,movieId,title,year,genres,prediction
0,356,Forrest Gump ,1994,Comedy Drama Romance War,1.00
1,480,Jurassic Park ,1993,Action Adventure Sci-Fi Thriller,1.00
2,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,1.00
3,780,Independence Day ,a.k.a. ID4,Action Adventure Sci-Fi Thriller,1.00
4,1197,"Princess Bride, The ",1987,Action Adventure Comedy Fantasy Romance,1.00
5,1270,Back to the Future ,1985,Adventure Comedy Sci-Fi,1.00
6,1704,Good Will Hunting ,1997,Drama Romance,1.00
7,2028,Saving Private Ryan ,1998,Action Drama War,1.00
8,2329,American History X ,1998,Crime Drama,1.00
9,2683,Austin Powers: The Spy Who Shagged Me ,1999,Action Adventure Comedy,1.00
10,2716,Ghostbusters ,a.k.a. Ghost Busters,Action Comedy Sci-Fi,1.00
11,2959,Fight Club ,1999,Action Crime Drama Thriller,1.00
12,4022,Cast Away ,2000,Drama,1.00
13,4995,"Beautiful Mind, A ",2001,Drama Romance,1.00
14,5349,Spider-Man ,2002,Action Adventure Sci-Fi Thriller,1.00
15,5445,Minority Report ,2002,Action Crime Mystery Sci-Fi Thriller,1.00
16,6874,Kill Bill: Vol. 1 ,2003,Action Crime Thriller,1.00
17,7153,"Lord of the Rings: The Return of the King, The ",2003,Action Adventure Drama Fantasy,1.00
18,8368,Harry Potter and the Prisoner of Azkaban ,2004,Adventure Fantasy IMAX,1.00
19,79132,Inception ,2010,Action Crime Drama Mystery Sci-Fi Thriller IMAX,1.00
