,movieId,title,year,genres,prediction
0,32,Twelve Monkeys ,a.k.a. 12 Monkeys,Mystery Sci-Fi Thriller,-0.02
1,50,"Usual Suspects, The ",1995,Crime Mystery Thriller,-0.02
2,150,Apollo 13 ,1995,Adventure Drama IMAX,-0.01
3,260,Star Wars: Episode IV - A New Hope ,1977,Action Adventure Sci-Fi,-0.00
4,296,Pulp Fiction ,1994,Comedy Crime Drama Thriller,0.00
5,356,Forrest Gump ,1994,Comedy Drama Romance War,0.00
6,367,"Mask, The ",1994,Action Comedy Crime Fantasy,-0.03
7,377,Speed ,1994,Action Romance Thriller,-0.03
8,380,True Lies ,1994,Action Adventure Comedy Romance Thriller,-0.02
9,457,"Fugitive, The ",1993,Thriller,-0.01
10,527,Schindler's List ,1993,Drama War,-0.02
11,588,Aladdin ,1992,Adventure Animation Children Comedy Musical,-0.02
12,592,Batman ,1989,Action Crime Thriller,-0.02
13,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,0.00
14,608,Fargo ,1996,Comedy Crime Drama Thriller,-0.03
15,1198,Raiders of the Lost Ark ,Indiana Jones and the Raiders of the Lost Ark,Action Adventure,-0.02
16,1210,Star Wars: Episode VI - Return of the Jedi ,1983,Action Adventure Sci-Fi,-0.02
17,1270,Back to the Future ,1985,Adventure Comedy Sci-Fi,-0.02
18,2858,American Beauty ,1999,Drama Romance,-0.01
19,2959,Fight Club ,1999,Action Crime Drama Thriller,-0.01
