,movieId,title,year,genres,prediction
0,260,Star Wars: Episode IV - A New Hope ,1977,Action Adventure Sci-Fi,0.97
1,296,Pulp Fiction ,1994,Comedy Crime Drama Thriller,1.00
2,344,Ace Ventura: Pet Detective ,1994,Comedy,1.00
3,349,Clear and Present Danger ,1994,Action Crime Drama Thriller,1.00
4,356,Forrest Gump ,1994,Comedy Drama Romance War,1.00
5,457,"Fugitive, The ",1993,Thriller,1.00
6,590,Dances with Wolves ,1990,Adventure Drama Western,0.97
7,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,1.00
8,597,Pretty Woman ,1990,Comedy Romance,1.00
9,1148,Wallace & Gromit: The Wrong Trousers ,1993,Animation Children Comedy Crime,1.00
10,1197,"Princess Bride, The ",1987,Action Adventure Comedy Fantasy Romance,1.00
11,1270,Back to the Future ,1985,Adventure Comedy Sci-Fi,1.00
12,1704,Good Will Hunting ,1997,Drama Romance,1.00
13,2329,American History X ,1998,Crime Drama,1.00
14,2683,Austin Powers: The Spy Who Shagged Me ,1999,Action Adventure Comedy,1.00
15,2716,Ghostbusters ,a.k.a. Ghost Busters,Action Comedy Sci-Fi,1.00
16,2959,Fight Club ,1999,Action Crime Drama Thriller,1.00
17,3948,Meet the Parents ,2000,Comedy,1.00
18,4022,Cast Away ,2000,Drama,1.00
19,5445,Minority Report ,2002,Action Crime Mystery Sci-Fi Thriller,1.00
